ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
5.62e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
2.38e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
1.93e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
1.99e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
1.91e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
2.71e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
2.01e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
