ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
4.3e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
2.81e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
2.07e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
2.02e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
1.92e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
1.96e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
ID: 1, Descripción: Factura de equipo, Monto: 500
ID: 2, Descripción: Factura de equipo, Monto: 500
ID: 3, Descripción: Factura de equipo, Monto: 500
ID: 4, Descripción: Factura de equipo, Monto: 500
ID: 5, Descripción: Factura de equipo, Monto: 500
ID: 6, Descripción: Factura de equipo, Monto: 500
ID: 7, Descripción: Factura de equipo, Monto: 500
ID: 8, Descripción: Factura de equipo, Monto: 500
ID: 9, Descripción: Factura de equipo, Monto: 500
1.94e-05
ID: 0, Descripción: Factura de equipo, Monto: 500
